# Emoji English Codes - Generated from Unicode names
# Format: code emoji [emoji ...]
1_2 🏻
cocktail_glass 🍸
coconut 🥥
coffin ⚰️
coin 🪙
collision_symbol 💥
comet ☄️
compass 🧭
compression 🗜
confetti_ball 🎊
confounded_face 😖
confused_face 😕
construction_sign 🚧
construction_worker 👷‍♂️ 👷‍♀️
control_knobs 🎛
convenience_store 🏪
cooked_rice 🍚
cookie 🍪
cooking 🍳
copyright_sign ©
coral 🪸
couch_and_lamp 🛋
cow 🐄
cow_face 🐮
crab 🦀
credit_card 💳
crescent_moon 🌙
cricket 🦗
cricket_bat_and_ball 🏏
crocodile 🐊
croissant 🥐
cross_mark ❌
crossed_flags 🎌
crossed_swords ⚔️
crown 👑
crutch 🩼
crying_cat_face 😿
crying_face 😢
crystal_ball 🔮
cucumber 🥒
cup_with_straw 🥤
cupcake 🧁
curling_stone 🥌
curly_loop ➰
currency_exchange 💱
curry_and_rice 🍛
custard 🍮
customs 🛃
cut_of_meat 🥩
cyclone 🌀
dagger_knife 🗡
dancer 💃
dango 🍡
dark_sunglasses 🕶
dash_symbol 💨
deaf_person 🧏‍♀️ 🧏‍♂️
deciduous_tree 🌳
deer 🦌
delivery_truck 🚚
department_store 🏬
derelict_house_building 🏚
desert 🏜
desert_island 🏝
desktop_computer 🖥
digit_eight 8️⃣
digit_five 5️⃣
digit_four 4️⃣
digit_nine 9️⃣
digit_one 1️⃣
digit_seven 7️⃣
digit_six 6️⃣
digit_three 3️⃣
digit_two 2️⃣
digit_zero 0️⃣
direct_hit 🎯
disappointed_but_relieved_face 😥
disappointed_face 😞
disguised_face 🥸
diving_mask 🤿
diya_lamp 🪔
dizzy_face 😵‍💫 😵
dizzy_symbol 💫
dna_double_helix 🧬
do_not_litter_symbol 🚯
dodo 🦤
dog 🐕‍🦺 🐕
dog_face 🐶
dollar_sign $
dolphin 🐬
donkey 🫏
door 🚪
dotted_line_face 🫥
double_curly_loop ➿
double_exclamation_mark ‼️
double_vertical_bar ⏸️
doughnut 🍩
dove_of_peace 🕊
down_pointing_red_triangle 🔻
down_pointing_small_red_triangle 🔽
downwards_black_arrow ⬇️
dragon 🐉
dragon_face 🐲
dress 👗
dromedary_camel 🐪
drooling_face 🤤
drop_of_blood 🩸
droplet 💧
drum_with_drumsticks 🥁
duck 🦆
dumpling 🥟
dvd 📀
e_mail_symbol 📧
eagle 🦅
ear 👂
ear_of_maize 🌽
ear_of_rice 🌾
ear_with_hearing_aid 🦻
earth_globe_americas 🌎
earth_globe_asia_australia 🌏
earth_globe_europe_africa 🌍
egg 🥚
eight_pointed_black_star ✴️
eight_spoked_asterisk ✳️
eject_symbol ⏏️
electric_light_bulb 💡
electric_plug 🔌
electric_torch 🔦
elephant 🐘
elevator 🛗
elf 🧝‍♂️ 🧝‍♀️
emoji_component_bald 🦲
emoji_component_curly_hair 🦱
emoji_component_red_hair 🦰
emoji_component_white_hair 🦳
empty_nest 🪹
end_with_leftwards_arrow_above 🔚
envelope ✉️
euro_sign €
european_castle 🏰
european_post_office 🏤
evergreen_tree 🌲
exclamation_question_mark ⁉️
expressionless_face 😑
extraterrestrial_alien 👽
eye 👁 👁️‍🗨️
eyeglasses 👓
eyes 👀
face_holding_back_tears 🥹
face_massage 💆‍♀️ 💆‍♂️
face_palm 🤦‍♂️ 🤦‍♀️
face_savouring_delicious_food 😋
face_screaming_in_fear 😱
face_throwing_a_kiss 😘
face_with_bags_under_eyes 🫩
face_with_cold_sweat 😓
face_with_cowboy_hat 🤠
face_with_diagonal_mouth 🫤
face_with_finger_covering_closed_lips 🤫
face_with_head_bandage 🤕
face_with_look_of_triumph 😤
face_with_medical_mask 😷
face_with_monocle 🧐
face_with_no_good_gesture 🙅‍♂️ 🙅‍♀️
face_with_ok_gesture 🙆‍♀️ 🙆‍♂️
face_with_one_eyebrow_raised 🤨
face_with_open_eyes_and_hand_over_mouth 🫢
face_with_open_mouth 😮 😮‍💨
face_with_open_mouth_and_cold_sweat 😰
face_with_open_mouth_vomiting 🤮
face_with_party_horn_and_party_hat 🥳
face_with_peeking_eye 🫣
face_with_pleading_eyes 🥺
face_with_rolling_eyes 🙄
face_with_stuck_out_tongue 😛
face_with_stuck_out_tongue_and_tightly_closed_eyes 😝
face_with_stuck_out_tongue_and_winking_eye 😜
face_with_tears_of_joy 😂
face_with_thermometer 🤒
face_with_uneven_eyes_and_wavy_mouth 🥴
face_without_mouth 😶 😶‍🌫️
factory 🏭
fairy 🧚‍♀️ 🧚‍♂️
falafel 🧆
fallen_leaf 🍂
father_christmas 🎅
fax_machine 📠
fearful_face 😨
feather 🪶
female_sign ♀
fencer 🤺
ferris_wheel 🎡
ferry ⛴
field_hockey_stick_and_ball 🏑
file_cabinet 🗄
file_folder 📁
film_frames 🎞
film_projector 📽
fingerprint 🫆
fire 🔥
fire_engine 🚒
fire_extinguisher 🧯
firecracker 🧨
firework_sparkler 🎇
fireworks 🎆
first_place_medal 🥇
first_quarter_moon_symbol 🌓
first_quarter_moon_with_face 🌛
fish 🐟
fish_cake_with_swirl_design 🍥
fishing_pole_and_fish 🎣
fisted_hand_sign 👊
flag_in_hole ⛳
flamingo 🦩
flat_shoe 🥿
flatbread 🫓
fleur_de_lis ⚜️
flexed_biceps 💪
floppy_disk 💾
flower_playing_cards 🎴
flushed_face 😳
flute 🪈
fly 🪰
flying_disc 🥏
flying_saucer 🛸
fog 🌫
foggy 🌁
folding_hand_fan 🪭
fondue 🫕
foot 🦶
footprints 👣
fork_and_knife 🍴
fork_and_knife_with_plate 🍽
fortune_cookie 🥠
fountain ⛲
four_leaf_clover 🍀
fox_face 🦊
frame_with_picture 🖼
freezing_face 🥶
french_fries 🍟
fried_shrimp 🍤
frog_face 🐸
front_facing_baby_chick 🐥
frowning_face_with_open_mouth 😦
fuel_pump ⛽
full_moon_symbol 🌕
full_moon_with_face 🌝
fullwidth_yen_sign ￥
funeral_urn ⚱️
game_die 🎲
garlic 🧄
gear ⚙️
gem_stone 💎
gemini ♊
genie 🧞‍♂️ 🧞‍♀️
ghost 👻
ginger_root 🫚
giraffe_face 🦒
girl 👧
glass_of_milk 🥛
globe_with_meridians 🌐
gloves 🧤
glowing_star 🌟
goal_net 🥅
goat 🐐
goggles 🥽
golfer 🏌️‍♂️ 🏌️‍♀️
goose 🪿
gorilla 🦍
graduation_cap 🎓
grapes 🍇
green_apple 🍏
green_book 📗
green_heart 💚
green_salad 🥗
grey_heart 🩶
grimacing_face 😬
grinning_cat_face_with_smiling_eyes 😸
grinning_face 😀
grinning_face_with_one_large_and_one_small_eye 🤪
grinning_face_with_smiling_eyes 😁
grinning_face_with_star_eyes 🤩
growing_heart 💗
guardsman 💂‍♂️ 💂‍♀️
guide_dog 🦮
guitar 🎸
hair_pick 🪮
haircut 💇‍♂️ 💇‍♀️
hamburger 🍔
hammer 🔨
hammer_and_pick ⚒️
hammer_and_wrench 🛠
hamsa 🪬
hamster_face 🐹
hand_with_index_and_middle_fingers_crossed 🤞
hand_with_index_finger_and_thumb_crossed 🫰
handbag 👜
handball 🤾‍♂️ 🤾‍♀️
handshake 🤝
happy_person_raising_one_hand 🙋‍♀️ 🙋‍♂️
harp 🪉
hatching_chick 🐣
headphone 🎧
headstone 🪦
hear_no_evil_monkey 🙉
heart_decoration 💟
heart_hands 🫶
